date,Year,Month,Day,TMIN,TMAX,PCP
1981-01-01,1981,1,1,0,0,0
1981-01-02,1981,1,2,0,0,0
1981-01-03,1981,1,3,0,0,0
1981-01-04,1981,1,4,0,0,0
1981-01-05,1981,1,5,0,0,0
1981-01-06,1981,1,6,0,0,0
1981-01-07,1981,1,7,0,0,0
1981-01-08,1981,1,8,0,0,0
1981-01-09,1981,1,9,0,0,0
1981-01-10,1981,1,10,0,0,0
1981-01-11,1981,1,11,0,0,0
1981-01-12,1981,1,12,0,0,0
1981-01-13,1981,1,13,0,0,0
1981-01-14,1981,1,14,0,0,0
1981-01-15,1981,1,15,0,0,0
1981-01-16,1981,1,16,0,0,0
1981-01-17,1981,1,17,0,0,0
1981-01-18,1981,1,18,0,0,0
1981-01-19,1981,1,19,0,0,0
1981-01-20,1981,1,20,0,0,0
1981-01-21,1981,1,21,0,0,0
1981-01-22,1981,1,22,0,0,0
1981-01-23,1981,1,23,0,0,0
1981-01-24,1981,1,24,0,0,0
1981-01-25,1981,1,25,0,0,0
1981-01-26,1981,1,26,0,0,0
1981-01-27,1981,1,27,0,0,0
1981-01-28,1981,1,28,0,0,0
1981-01-29,1981,1,29,0,0,0
1981-01-30,1981,1,30,0,0,0
1981-01-31,1981,1,31,0,0,0
1981-02-01,1981,2,1,0,0,0
1981-02-02,1981,2,2,0,0,0
1981-02-03,1981,2,3,0,0,0
1981-02-04,1981,2,4,0,0,0
1981-02-05,1981,2,5,0,0,0
1981-02-06,1981,2,6,0,0,0
1981-02-07,1981,2,7,0,0,0
1981-02-08,1981,2,8,0,0,0
1981-02-09,1981,2,9,0,0,0
1981-02-10,1981,2,10,0,0,0
1981-02-11,1981,2,11,0,0,0
1981-02-12,1981,2,12,0,0,0
1981-02-13,1981,2,13,0,0,0
1981-02-14,1981,2,14,0,0,0
1981-02-15,1981,2,15,0,0,0
1981-02-16,1981,2,16,0,0,0
1981-02-17,1981,2,17,0,0,0
1981-02-18,1981,2,18,0,0,0
1981-02-19,1981,2,19,0,0,0
1981-02-20,1981,2,20,0,0,0
1981-02-21,1981,2,21,0,0,0
1981-02-22,1981,2,22,0,0,0
1981-02-23,1981,2,23,0,0,0
1981-02-24,1981,2,24,0,0,0
1981-02-25,1981,2,25,0,0,0
1981-02-26,1981,2,26,0,0,0
1981-02-27,1981,2,27,0,0,0
1981-02-28,1981,2,28,0,0,0
1981-03-01,1981,3,1,0,0,0
1981-03-02,1981,3,2,0,0,0
1981-03-03,1981,3,3,0,0,0
1981-03-04,1981,3,4,0,0,0
1981-03-05,1981,3,5,0,0,0
1981-03-06,1981,3,6,0,0,0
1981-03-07,1981,3,7,0,0,0
1981-03-08,1981,3,8,0,0,0
1981-03-09,1981,3,9,0,0,0
1981-03-10,1981,3,10,0,0,0
1981-03-11,1981,3,11,0,0,0
1981-03-12,1981,3,12,0,0,0
1981-03-13,1981,3,13,0,0,0
1981-03-14,1981,3,14,0,0,0
1981-03-15,1981,3,15,0,0,0
1981-03-16,1981,3,16,0,0,0
1981-03-17,1981,3,17,0,0,0
